name,type,criticality,description,location,owner,ip_address,serial_number,asset_subtype
PROD-WEB-01,hardware,Critical,Production web server 1,Datacenter A,IT Operations,10.10.1.10,SRV2024A001,Server
PROD-WEB-02,hardware,Critical,Production web server 2,Datacenter A,IT Operations,10.10.1.11,SRV2024A002,Server
PROD-DB-01,hardware,Critical,Primary database server,Datacenter A,Database Team,10.10.2.10,SRV2024A003,Server
PROD-DB-02,hardware,Critical,Secondary database server,Datacenter B,Database Team,10.10.2.11,SRV2024B001,Server
PROD-APP-01,hardware,High,Application server 1,Datacenter A,Development Team,10.10.3.10,SRV2024A004,Server
PROD-APP-02,hardware,High,Application server 2,Datacenter B,Development Team,10.10.3.11,SRV2024B002,Server
DEV-SERVER-01,hardware,Medium,Development server,Office Building,Development Team,10.20.1.10,SRV2024C001,Server
DEV-SERVER-02,hardware,Medium,Testing server,Office Building,QA Team,10.20.1.11,SRV2024C002,Server
BACKUP-01,hardware,High,Backup server primary,Datacenter A,IT Operations,10.10.4.10,SRV2024A005,Server
BACKUP-02,hardware,High,Backup server secondary,Datacenter B,IT Operations,10.10.4.11,SRV2024B003,Server
MAIL-01,hardware,Critical,Exchange mail server,Datacenter A,IT Operations,10.10.5.10,SRV2024A006,Server
FILE-01,hardware,High,File server,Office Building,IT Operations,10.20.2.10,SRV2024C003,Server
VM-PROD-01,hardware,High,Virtual machine - Production app,Virtual Infrastructure,Cloud Team,10.30.1.10,VM2024001,Server
VM-PROD-02,hardware,High,Virtual machine - Production services,Virtual Infrastructure,Cloud Team,10.30.1.11,VM2024002,Server
VM-DEV-01,hardware,Medium,Virtual machine - Dev environment,Virtual Infrastructure,Development Team,10.30.2.10,VM2024003,Server
VM-DEV-02,hardware,Medium,Virtual machine - Testing,Virtual Infrastructure,QA Team,10.30.2.11,VM2024004,Server
VM-MONITOR-01,hardware,High,Virtual machine - Monitoring,Virtual Infrastructure,IT Operations,10.30.3.10,VM2024005,Server
VM-SECURITY-01,hardware,Critical,Virtual machine - Security tools,Virtual Infrastructure,Security Team,10.30.3.11,VM2024006,Server
VM-BACKUP-01,hardware,High,Virtual machine - Backup services,Virtual Infrastructure,IT Operations,10.30.4.10,VM2024007,Server
VM-STAGING-01,hardware,Medium,Virtual machine - Staging env,Virtual Infrastructure,Development Team,10.30.4.11,VM2024008,Server
DESKTOP-001,hardware,Low,Desktop computer - Finance dept,Floor 1,Finance Team,10.40.1.1,WKS2024001,Desktop
DESKTOP-002,hardware,Low,Desktop computer - Finance dept,Floor 1,Finance Team,10.40.1.2,WKS2024002,Desktop
DESKTOP-003,hardware,Low,Desktop computer - HR dept,Floor 1,HR Team,10.40.1.3,WKS2024003,Desktop
